DateTime,AddedIPs,RemovedIPs
1588913732,7,5
1588914452,6,13
1588915172,6,7
1588915893,5,8
1588916613,7,13
1588917332,1,5
1588918053,2,9
1588918773,5,9
1588919492,6,6
1588920213,7,7
1588920933,4,5
1588921653,7,5
1588922373,6,10
1588923093,6,8
1588923813,2,1
1588924533,10,9
1588925253,5,8
1588925973,10,10
1588927172,17,17
1588927893,31,7
1588928852,72,12
1588929573,7,8
1588930293,5,4
1588931013,67,10
1588931733,6,9
1588932453,12,7
1588933172,10,8
1588933893,7,10
1588934613,5,11
1588935332,3,3
1588936053,14,5
1588936772,7,8
1588937493,339,7
1588938212,157,9
1588938933,8,5
1588939652,4,7
1588940373,7,7
1588941092,2,12
1588941813,8,8
1588942533,8,6
1588943253,7,7
1588943972,8,9
1588944693,6,8
1588945413,6,8
1588946132,4,3
1588946852,6,6
1588947573,7,7
1588948293,2,8
1588949012,7,4
1588949733,3,4
1588950452,3,22
1588951172,8,4
1588951892,8,3
1588952612,10,4
1588953332,7,3
1588954052,8,4
1588954773,5,5
1588955492,6,7
1588956212,4,4
1588956932,5,5
1588957653,9,9
1588958373,11,10
1588959093,9,8
1588959812,3,2
1588960532,524,6
1588961492,4,5
1588962213,7,9
1588962934,6,7
1588963653,10,7
1588964375,12,8
1588965092,5,5
1588965812,4,8
1588966534,7,10
1588967253,3,7
1588967972,5,3
1588968693,4,6
1588969412,8,5
1588970132,5,3
1588970852,1,6
1588971573,7,7
1588972293,13,3
1588973013,4,4
1588973734,5,9
1588974452,3,5
1588975173,5,11
1588975893,7,6
1588976613,5,6
1588977333,2,4
1588978053,9,7
1588978773,7,4
1588979493,11,10
1588980213,6,3
1588980933,9,6
1588981653,6,4
1588982373,5,9
1588983092,5,7
1588983812,7,11
1588984532,5,6
1588985252,9,11
1588985973,7,2
1588986693,8,11
1588987412,8,6
1588988133,9,8
1588988853,14,9
1588989572,17,11
1588990293,14,6
1588991013,11,9
1588991732,7,10
1588992453,14,7
1588993172,6,6
1588993893,6,5
1588994613,7,7
1588995332,3,5
1588996052,10,6
1588996773,9,6
1588997493,9,10
1588998213,11,7
1588998933,7,6
1588999653,13,7
1589000373,5,6
1589001093,3,11
1589001813,9,6
1589002534,4,3
1589003252,5,6
1589003973,11,1
1589004693,7,6
1589005412,4,5
1589006133,8,6
1589006854,5,8
1589007573,5,4
1589008293,3,5
1589009012,8,7
1589009732,11,5
1589010453,8,5
1589011173,11,6
1589011893,4,6
1589012614,7,8
1589013332,8,8
1589014053,8,11
1589014773,9,8
1589015493,9,11
1589016212,12,6
1589016933,8,6
1589017653,6,5
1589018373,10,9
1589019093,9,15
1589019813,11,6
1589020534,12,6
1589021252,9,5
1589021973,9,10
1589022693,5,9
1589023413,8,11
1589024132,10,2
1589024852,6,2
1589025573,10,10
1589026292,10,2
1589027013,2,7
1589027732,11,8
1589028452,11,7
1589029173,12,6
1589029892,2,7
1589030613,8,10
1589031332,9,3
1589032052,3,3
1589032773,4,5
1589033493,8,8
1589034213,6,9
1589034932,7,3
1589035653,8,4
1589036373,6,4
1589037092,5,5
1589037813,6,5
1589038533,4,5
1589039253,7,8
1589039973,6,5
1589040692,6,9
1589041413,5,5
1589042132,10,5
1589042853,5,6
1589043572,8,7
1589044532,11,6
1589045252,3,11
1589045973,8,0
1589046693,8,8
1589047412,9,1
1589048132,1,3
1589048852,5,7
1589049573,6,6
1589050293,7,11
1589051252,13,7
1589051973,6,6
1589052692,11,7
1589053413,10,5
1589054133,7,5
1589054853,3,2
1589055573,11,7
1589056292,6,6
1589057013,11,2
1589057733,3,5
1589058452,5,9
1589059174,7,7
1589059893,4,6
1589060613,4,3
1589061333,4,4
1589062053,5,7
1589062772,9,9
1589063493,10,2
1589064213,10,4
1589064933,9,10
1589065653,3,8
1589066373,6,9
1589067093,2,9
1589067813,8,9
1589068533,4,11
1589069253,5,5
1589069972,15,6
1589070693,9,7
1589071413,6,5
1589072132,7,13
1589072853,3,10
1589073572,5,7
1589074293,5,6
1589075013,9,15
1589075733,7,21
1589076692,12,15
1589077652,15,11
1589078612,12,12
1589079332,4,8
1589080052,3,7
1589080772,8,4
1589081612,1,6
1589082213,5,7
1589082932,8,8
1589083653,4,8
1589084373,9,14
1589085092,8,9
1589085812,9,6
1589086532,5,11
1589087253,15,5
1589087972,7,7
1589088693,6,8
1589089412,5,3
1589090134,6,11
1589090853,5,10
1589091572,6,4
1589092293,4,6
1589093014,3,5
1589093732,10,6
1589094452,8,5
1589095173,3,6
1589095892,3,9
1589096612,3,10
1589097333,2,15
1589098053,5,5
1589098772,5,4
1589099493,6,8
1589100212,4,3
1589100933,5,10
1589101652,3,7
1589102372,6,10
1589103092,4,9
1589103812,5,8
1589104533,6,6
1589105493,8,12
1589106213,4,9
1589106932,6,13
1589107653,10,9
1589108374,6,7
1589109093,5,3
1589109812,6,5
1589110533,10,12
1589111253,8,5
1589111972,8,10
1589112693,4,9
1589113413,8,5
1589114133,7,10
1589114852,4,12
1589115573,5,13
1589116293,8,3
1589117013,5,7
1589117733,6,12
1589118452,4,2
1589119173,9,5
1589119892,9,8
1589120613,7,7
1589121333,5,8
1589122052,9,10
1589122772,9,7
1589123733,9,8
1589124453,5,7
1589125413,5,8
1589126133,5,6
1589126852,8,46
1589127573,2,7
1589128293,3,5
1589129012,11,7
1589129972,6,7
1589130692,3,9
1589131412,4,5
1589132133,6,5
1589132853,7,9
1589133573,6,12
1589134533,4,5
1589135253,4,4
1589135972,6,6
1589136693,18,8
1589137413,8,8
1589138132,3,7
1589138854,5,6
1589139572,6,7
1589140292,8,6
1589141253,7,6
1589141973,6,9
1589142693,8,6
1589143412,11,15
1589144133,7,3
1589144853,2,4
1589145573,6,7
1589146293,5,5
1589147012,9,3
1589147732,11,3
1589148692,8,9
1589149413,6,9
1589150133,8,7
1589150853,3,9
1589151573,7,8
1589152292,2,5
1589153012,2,6
1589153733,5,3
1589154452,6,5
1589155172,9,7
1589155894,6,12
1589156612,6,12
1589157333,16,8
1589158053,7,7
1589158773,5,3
1589159492,12,4
1589160212,10,6
1589160932,7,8
1589161653,7,11
1589162373,11,7
1589163092,9,13
1589163812,9,10
1589164532,7,12
1589165252,11,6
1589165972,14,7
1589166693,13,6
1589167412,6,8
1589168132,15,0
1589168853,10,5
1589169572,11,6
1589170293,13,8
1589171013,13,6
1589171733,10,8
1589172453,9,6
1589173172,10,13
1589173893,13,8
1589174613,7,7
1589175333,6,8
1589176052,37,4
1589176772,13,6
1589177493,10,7
1589178212,13,4
1589178933,8,2
1589179653,6,7
1589180373,10,8
1589181093,4,9
1589181812,9,5
1589182533,10,3
1589183252,11,5
1589183973,6,4
1589184694,6,6
1589185413,9,4
1589186133,5,7
1589186853,8,3
1589187573,9,6
1589188533,7,7
1589189253,7,1
1589189973,8,9
1589190693,7,5
1589191413,10,6
1589192373,14,12
1589193092,7,3
1589193813,6,10
1589194534,8,10
1589195252,8,7
1589195974,6,4
1589196693,8,11
1589197412,7,12
1589198132,10,9
1589198853,6,8
1589199573,8,6
1589200294,3,8
1589201012,8,3
1589201734,6,7
1589202453,3,5
1589203173,5,8
1589204012,7,7
1589204612,6,4
1589205333,5,8
1589206292,13,9
1589207014,11,9
1589207733,7,6
1589208452,13,9
1589209173,9,9
1589209893,6,4
1589210612,10,5
1589211333,5,6
1589212053,7,4
1589212773,9,9
1589213732,10,7
1589214453,10,3
1589215173,6,7
1589215894,7,11
1589216853,5,4
1589217573,3,1
1589218292,7,6
1589219013,8,6
1589219733,7,10
1589220453,5,4
1589221173,12,5
1589221893,6,6
1589222613,13,7
1589223332,3,19
1589224052,10,9
1589224773,9,5
1589225493,6,4
1589226213,8,8
1589226932,7,8
1589227653,4,5
1589228372,4,5
1589229092,2,10
1589229814,5,9
1589230532,1,6
1589231252,4,1
1589231972,5,6
1589232693,4,6
1589233413,8,7
1589234133,5,8
1589234852,10,7
1589235573,3,4
1589236293,5,6
1589237013,3,6
1589237733,6,7
1589238452,4,3
1589239172,6,4
1589239893,10,5
1589240613,6,7
1589241334,8,6
1589242053,5,9
1589242772,7,5
1589243493,7,9
1589244213,7,11
1589244933,3,6
1589245654,7,7
1589246373,9,13
1589247092,8,4
1589247813,6,5
1589248532,8,10
1589249253,5,7
1589250212,14,14
1589250933,7,5
1589251652,8,10
1589252374,8,15
1589253093,11,15
1589253812,10,9
1589254533,11,14
1589255253,8,13
1589255973,13,10
1589256693,9,13
1589257413,14,12
1589258132,10,8
1589258853,10,11
1589259572,9,9
1589260293,9,10
1589261012,5,6
1589261733,12,6
1589262453,5,27
1589263172,14,13
1589263893,11,12
1589264612,5,13
1589265332,12,10
1589266053,22,9
1589266772,6,9
1589267493,15,6
1589268212,9,7
1589268932,10,13
1589269652,8,10
1589270373,8,8
1589271094,5,9
1589271813,10,10
1589272533,14,9
1589273493,13,11
1589274212,9,6
1589274933,10,7
1589275653,20,6
1589276372,7,10
1589277093,8,1
1589278052,11,16
1589278772,5,14
