DateTime,AddedIPs,RemovedIPs
1588994168,25,0
1588994613,5,5
1588995332,2,4
1588995606,11,18
1588996052,10,4
1588996773,7,6
1588997544,21,21
1588998213,10,7
1588998933,6,4
1588999455,13,13
1588999653,12,5
1589000170,0,5
1589000373,5,5
1589001093,3,7
1589001613,13,17
1589001813,9,6
1589002534,4,3
1589003252,4,5
1589003528,22,21
1589003973,10,1
1589004693,5,5
1589005456,13,31
1589006133,8,6
1589006854,5,8
1589007369,426,313
1589007573,5,2
1589008293,2,4
1589008804,13,1
1589009012,7,6
1589009331,8,24
1589009732,10,4
1589010453,3,5
1589011222,27,32
1589011893,4,3
1589012614,7,5
1589013131,18,22
1589013332,7,3
1589014053,7,9
1589014773,6,7
1589015051,12,12
1589015493,8,6
1589016212,10,6
1589016983,29,29
1589017653,4,4
1589018373,10,8
1589018902,15,27
1589019093,8,14
1589019813,9,3
1589020534,11,5
1589021252,5,5
1589021973,8,8
1589022693,4,6
1589023463,31,11
1589024132,8,2
1589024404,1,0
1589024852,6,1
1589025573,8,8
1589026292,9,2
1589026582,18,64
1589027013,2,6
1589027732,9,6
1589028495,34,26
1589029173,11,5
1589029892,2,6
1589030406,7,26
1589030613,7,9
1589031332,9,3
1589032052,3,3
1589032330,22,8
1589032773,4,4
1589033493,6,8
1589034258,11,29
1589034932,6,3
1589035208,5,0
1589035653,7,4
1589036166,7,6
1589036373,6,3
1589037092,3,5
1589037813,5,4
1589038137,40,21
1589038533,4,5
1589039253,5,7
1589040026,23,2
1589040692,4,7
1589041413,3,5
1589041933,11,25
1589042132,7,3
1589042853,5,4
1589043572,6,5
1589044101,11,0
1589044532,9,4
1589045252,3,8
1589045973,7,0
1589046693,7,6
1589047412,9,1
1589047933,16,43
1589048132,1,3
1589048852,4,7
1589049573,6,4
1589049854,20,26
1589050293,4,10
1589051252,12,6
1589051770,19,14
1589051973,5,5
1589052739,30,9
1589053413,10,5
1589053695,12,21
1589054133,6,4
1589054853,2,2
1589055615,24,13
1589056292,4,5
1589057013,10,1
1589057526,21,12
1589057733,3,5
1589058452,4,8
1589059174,6,7
1589059451,23,18
1589059893,3,6
