DateTime,AddedIPs,RemovedIPs
1588777922,0,1
1588779121,3,4
1588779721,1,0
1588781522,1,1
1588782721,1,1
1588783922,1,0
1588784521,1,4
1588785721,2,3
1588786322,1,1
1588786922,0,1
1588787522,1,1
1588788121,0,2
1588789321,4,3
1588790522,4,6
1588792921,4,1
1588793521,1,0
1588794121,1,1
1588795321,2,0
1588796521,3,3
1588797722,1,2
1588798321,1,0
1588798921,4,2
1588800121,2,0
1588800722,1,0
1588801322,3,4
1588802521,3,2
1588803721,4,1
1588804921,4,4
1588807322,1,2
1588808521,4,2
1588809721,2,0
1588810922,2,4
1588812122,4,3
1588812721,0,1
1588813921,3,0
1588814521,1,0
1588815722,0,1
1588816321,1,0
1588816921,2,0
1588818121,1,2
1588818721,1,1
1588819921,2,0
1588821121,1,1
1588821721,0,2
1588822922,6,2
1588824121,0,5
1588825321,2,3
1588826521,3,3
1588827722,4,0
1588828322,6,1
1588829521,1,2
1588830122,2,0
1588831321,4,0
1588832521,5,3
1588833722,1,2
1588834922,0,2
1588836122,3,1
1588837921,6,3
1588838521,0,2
1588839721,2,0
1588841522,0,5
1588842121,6,0
1588842721,3,1
1588843321,5,1
1588843921,2,0
1588844521,0,2
1588846921,0,2
1588847521,0,2
1588848121,1,0
1588848721,0,1
1588849321,2,8
1588850521,3,1
1588851721,1,11
1588852321,3,1
1588852921,0,3
1588854122,3,1
1588856522,1,5
1588857722,1,32
1588858922,2,17
1588859521,0,4
1588860721,37,0
1588861321,1,0
1588861921,0,1
1588863122,1,1
1588864921,5,3
1588865522,2,0
1588866121,1,3
1588867321,1,3
1588867921,1,0
1588869122,1,1
1588869721,1,2
1588870321,1,0
1588872122,1,0
1588872722,1,0
1588873322,3,0
1588873921,0,2
1588875722,4,2
1588878121,1,0
1588879321,2,1
1588880521,2,0
1588881721,0,3
1588882922,0,1
1588883521,4,1
1588884722,3,0
1588886521,2,2
1588887121,2,1
1588887721,1,0
1588890122,3,0
1588890721,0,1
1588891321,2,2
1588892522,5,0
1588893721,0,4
1588894921,3,3
1588895521,0,1
1588896121,1,4
1588897321,2,2
1588899121,0,1
1588899721,1,0
1588900321,2,3
1588901522,4,0
1588902122,2,0
1588903321,2,3
1588904522,1,8
1588905121,2,0
1588906322,1,1
1588908121,1,0
1588908721,2,4
1588909921,1,0
1588910521,2,0
1588911722,0,1
1588912922,2,3
1588914121,1,3
1588915321,3,0
1588917721,0,4
1588918921,5,3
1588920122,7,2
1588920721,1,1
1588921921,2,2
1588922521,0,1
1588923721,5,4
1588926122,3,0
1588926721,1,6
1588928521,3,1
1588930921,1,0
1588931521,1,1
1588932121,0,2
1588932721,0,2
1588933321,0,1
1588934521,1,1
1588935121,1,0
1588935721,0,1
1588936322,1,0
1588936921,1,0
1588937522,1,1
1588938722,82,1
1588940521,2,0
1588941121,0,1
1588941721,1,0
1588942321,2,1
1588944121,2,3
1588945321,3,0
1588945921,0,3
1588946522,4,0
1588947722,1,0
1588948921,0,3
1588949521,1,3
1588950721,2,1
1588951321,0,8
1588951921,2,0
1588952521,3,0
1588953722,3,1
1588954921,2,8
1588955521,2,0
1588956121,1,0
1588956722,1,2
1588957321,1,4
1588957922,4,2
1588958521,0,1
1588959721,5,0
1588960921,1,8
1588962121,1,0
1588963322,2,6
1588963922,4,0
1588965121,3,5
1588966321,5,2
1588968121,3,3
1588969321,2,8
1588970522,1,5
1588971721,1,2
1588972922,4,0
1588974121,2,2
1588975322,2,3
1588975922,0,3
1588976522,1,1
1588978321,0,4
1588979521,2,4
1588981321,0,2
1588982522,2,0
1588983121,0,4
1588984921,1,0
1588985521,0,2
1588986721,0,5
1588987922,0,2
1588988320,0,2
1588989024,10,5
1588990321,1,1
1588990921,0,3
1588992121,1,3
1588993321,0,3
1588995121,3,2
1588995721,0,2
1588997522,0,2
1588999321,1,9
1588999921,1,0
1589000522,0,1
1589001721,1,8
1589002921,1,1
1589004721,0,7
1589005321,0,5
1589006522,3,28
1589007122,74,0
1589007721,1,0
1589008921,1,3
1589010121,1,0
1589011321,5,5
1589012521,3,2
1589013721,1,1
1589014322,3,2
1589014922,0,1
1589015521,0,1
1589016121,1,0
1589017321,2,3
1589017921,0,2
1589020321,0,1
1589021522,0,2
1589022121,1,8
1589023921,1,0
1589025121,1,4
1589026321,1,4
1589026921,40,0
1589027521,0,5
1589028721,0,2
1589029322,0,1
1589030521,34,3
1589031721,2,3
1589032321,39,0
1589032921,0,1
1589034122,1,1
1589034721,1,1
1589035921,1,0
1589036521,1,0
1589037122,1,2
1589037722,0,1
1589038921,0,3
1589039521,1,0
1589040122,0,1
1589041321,0,4
1589042521,0,3
1589043722,2,6
1589044321,1,0
1589044921,0,5
1589046121,2,1
1589047321,1,1
1589049121,1,5
1589049721,3,0
1589050321,2,0
1589050921,0,1
1589052122,3,4
1589053321,1,0
1589054521,2,5
1589055121,0,2
1589055722,1,1
1589056321,0,7
1589057521,1,0
1589059321,1,0
1589060521,2,8
1589061721,2,0
1589062321,1,3
1589062921,1,10
1589064121,2,5
1589065321,1,0
1589066521,0,6
1589067721,2,6
1589068921,1,0
1589070121,4,6
1589070721,1,0
1589071321,0,2
1589071921,0,10
1589072521,1,0
1589073721,2,24
1589074922,1,2
1589076121,0,1
1589077321,0,5
1589078521,0,10
1589079121,0,1
1589080921,0,18
1589081521,0,5
1589082722,0,6
1589083321,0,3
1589084522,1,0
1589085721,0,4
1589088121,18,11
1589089321,1,6
1589090522,5,0
1589091721,0,8
1589092921,0,4
1589093522,0,4
1589094121,1,0
1589094721,0,6
1589095321,0,3
1589096522,1,5
1589098922,0,2
1589100121,0,7
1589100721,0,3
1589101922,0,2
1589102521,0,1
1589104921,0,1
1589106121,0,2
1589107321,1,2
1589108521,3,1
1589109121,96,0
1589109722,0,1
1589110321,1,0
1589110922,0,3
1589111522,1,1
1589112121,0,4
1589112722,5,0
1589115721,0,4
1589117521,1,2
1589118122,0,5
1589118721,1,0
1589119322,1,1
1589119921,0,2
1589121121,0,2
1589122321,0,3
1589122921,1,1
1589123522,1,0
1589125322,1,2
1589125922,0,2
1589127121,0,2
1589127722,0,1
1589128321,2,0
1589129521,0,6
1589130721,0,1
1589131321,79,4
1589132521,3,2
1589133121,2,2
1589133721,1,1
1589135521,0,3
1589136121,1,1
1589137322,3,3
1589137921,0,3
1589139121,0,3
1589139722,2,0
1589140321,1,0
1589140921,0,1
1589142722,1,1
1589145722,1,7
1589147521,0,8
1589148121,2,0
1589148721,0,2
1589149921,1,9
1589151121,0,1
1589151721,2,1
1589152921,0,3
1589154122,1,6
1589155921,0,11
1589156521,1,0
1589157721,4,7
1589160121,0,17
1589161321,0,3
1589162521,0,2
1589164322,3,8
1589165521,0,5
1589166722,1,3
1589167321,0,5
1589168521,1,0
1589169721,0,6
1589170922,0,3
1589172122,2,1
1589172721,0,9
1589173921,0,7
1589175121,1,2
1589176321,33,2
1589176921,0,5
1589178122,5,5
1589178721,0,6
1589179322,2,5
1589180522,1,0
1589181721,0,1
1589182321,1,6
1589183521,0,3
1589184122,0,9
1589185321,2,0
1589185921,0,6
1589186521,1,3
1589187121,1,0
1589187722,0,1
1589188321,0,6
1589189521,2,0
1589190121,0,4
1589191321,1,0
1589191921,0,2
1589192522,1,0
1589193721,1,6
1589194322,1,0
1589194921,0,2
1589195521,0,2
1589196121,0,1
1589197321,0,2
1589198521,0,4
1589199721,2,6
1589200321,1,0
1589201522,1,7
1589202721,2,3
1589203322,1,0
1589203921,1,4
1589205122,3,2
1589205722,0,8
1589206321,3,0
1589207521,6,11
1589208722,5,0
1589209321,4,2
1589210521,3,2
1589211721,6,7
1589212921,5,8
1589213521,9,3
1589214121,5,2
1589214721,3,0
1589215321,4,0
1589215922,1,10
1589216522,4,23
1589217121,2,0
1589217721,2,0
1589218321,3,3
1589218921,1,2
1589219521,1,0
1589220721,1,0
1589221321,0,1
1589222521,0,3
1589223721,3,2
1589224922,3,4
1589225521,2,0
1589226122,7,4
1589227321,2,3
1589227922,1,0
1589228522,5,0
1589229121,0,2
1589230321,5,1
1589230921,0,5
1589231521,2,1
1589232121,1,2
1589232722,1,0
1589233321,1,1
1589234521,3,0
1589235121,0,4
1589236322,1,3
1589236921,0,4
1589238122,1,4
1589239321,1,4
1589239922,1,0
1589240521,1,5
1589241721,3,0
1589242921,2,11
1589244122,6,32
1589245321,2,3
1589246522,0,10
1589247121,2,0
1589247721,1,0
1589248322,0,8
1589248921,2,0
1589249521,0,2
1589250721,4,0
1589251321,1,5
1589252521,2,19
1589253721,5,0
1589254321,1,10
1589254921,1,1
1589255521,1,5
1589257321,1,22
1589257921,1,0
1589259721,1,0
1589260921,2,5
1589262121,3,0
1589263321,1,3
1589264521,3,7
1589265121,0,10
1589266322,4,0
1589267522,0,4
1589268721,0,5
1589269322,1,0
1589270521,3,7
1589271721,1,0
1589272322,2,4
1589274121,4,5
1589275321,3,7
1589275922,0,4
1589276521,2,5
1589277121,1,4
1589277721,3,0
